"filename", "language", "CSS", "XML", "Python", "HTML", "JavaScript", "comment", "blank", "total"
"/home/sam/PycharmProjects/felido_project/.idea/felido_project.iml", "XML", 0, 23, 0, 0, 0, 0, 0, 23
"/home/sam/PycharmProjects/felido_project/.idea/inspectionProfiles/profiles_settings.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 6
"/home/sam/PycharmProjects/felido_project/.idea/jsLibraryMappings.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 6
"/home/sam/PycharmProjects/felido_project/.idea/misc.xml", "XML", 0, 4, 0, 0, 0, 0, 0, 4
"/home/sam/PycharmProjects/felido_project/.idea/modules.xml", "XML", 0, 8, 0, 0, 0, 0, 0, 8
"/home/sam/PycharmProjects/felido_project/.idea/vcs.xml", "XML", 0, 6, 0, 0, 0, 0, 0, 6
"/home/sam/PycharmProjects/felido_project/app.py", "Python", 0, 0, 27, 0, 0, 0, 13, 40
"/home/sam/PycharmProjects/felido_project/static/css/style.css", "CSS", 255, 0, 0, 0, 0, 2, 55, 312
"/home/sam/PycharmProjects/felido_project/static/css/wip.css", "CSS", 10, 0, 0, 0, 0, 0, 1, 11
"/home/sam/PycharmProjects/felido_project/static/images/2021_Facebook_icon.svg", "XML", 0, 8, 0, 0, 0, 0, 0, 8
"/home/sam/PycharmProjects/felido_project/static/images/Instagram_logo_2016.svg", "XML", 0, 21, 0, 0, 0, 0, 0, 21
"/home/sam/PycharmProjects/felido_project/static/images/Spotify_logo_without_text.svg", "XML", 0, 4, 0, 0, 0, 0, 1, 5
"/home/sam/PycharmProjects/felido_project/static/images/YouTube_full-color_icon_(2017).svg", "XML", 0, 1, 0, 0, 0, 0, 1, 2
"/home/sam/PycharmProjects/felido_project/static/scripts/hamburger.js", "JavaScript", 0, 0, 0, 0, 16, 0, 3, 19
"/home/sam/PycharmProjects/felido_project/templates/about.html", "HTML", 0, 0, 0, 16, 0, 0, 0, 16
"/home/sam/PycharmProjects/felido_project/templates/archive.html", "HTML", 0, 0, 0, 16, 0, 1, 1, 18
"/home/sam/PycharmProjects/felido_project/templates/article_list.html", "HTML", 0, 0, 0, 91, 0, 1, 12, 104
"/home/sam/PycharmProjects/felido_project/templates/events.html", "HTML", 0, 0, 0, 16, 0, 0, 1, 17
"/home/sam/PycharmProjects/felido_project/templates/index.html", "HTML", 0, 0, 0, 13, 0, 0, 2, 15
"/home/sam/PycharmProjects/felido_project/templates/wip.html", "HTML", 0, 0, 0, 13, 0, 0, 1, 14
"Total", "-", 265, 87, 27, 165, 16, 4, 91, 655
